name,number_of_countries,number_of_athletes,number_of_events,host_city,host_country
1904 Summer Olympics,12,651,,St. Louis,United States of America
1900 Summer Olympics,24,997,,Paris,France
1896 Summer Olympics,14,241,,Athens,Greece
1948 Summer Olympics,59,4099,,London,United Kingdom
1932 Winter Olympics,17,251,,Lake Placid,United States of America
1964 Winter Olympics,36,1091,,Innsbruck,Austria
2016 Summer Olympics,,,,Rio de Janeiro,Brazil
1980 Summer Olympics,80,5179,,Moscow,Soviet Union
1972 Summer Olympics,121,7170,,Munich,West Germany
1928 Winter Olympics,25,464,,St. Moritz,Switzerland
1928 Summer Olympics,46,3014,,Amsterdam,Netherlands
1972 Winter Olympics,35,1006,,Sapporo,Japan
1912 Summer Olympics,28,2407,,Stockholm,Sweden
1906 Summer Olympics,20,903,,Athens,Greece
1976 Winter Olympics,37,1123,,Innsbruck,Austria
1984 Summer Olympics,140,6797,,Los Angeles,United States of America
1952 Summer Olympics,69,4925,,Helsinki,Finland
1960 Winter Olympics,30,665,,Squaw Valley,United States of America
1936 Summer Olympics,49,3963,,Berlin,Germany
2010 Winter Olympics,82,2632,87,Vancouver,Canada
1988 Winter Olympics,57,1423,,Calgary,Canada
1964 Summer Olympics,93,5140,,Tokyo,Japan
1948 Winter Olympics,28,669,,St. Moritz,Switzerland
2000 Summer Olympics,199,10651,300,Sydney,Australia
1988 Summer Olympics,159,8465,,Seoul,South Korea
1968 Winter Olympics,37,1158,,Grenoble,France
1996 Summer Olympics,197,10320,,Atlanta,United States of America
2004 Summer Olympics,201,11099,,Athens,Greece
1956 Summer Olympics,67,3184,,Melbourne,Australia
2002 Winter Olympics,77,2399,,Salt Lake City,United States of America
1936 Winter Olympics,28,646,,Garmisch-Partenkirchen,Austria
1924 Summer Olympics,44,3089,,Paris,France
1956 Winter Olympics,32,821,,Cortina d'Ampezzo,Italy
2014 Winter Olympics,,,,Sochi,Russia
1980 Winter Olympics,37,1072,38,Lake Placid,United States of America
1976 Summer Olympics,92,6028,,Montreal,Canada
1960 Summer Olympics,83,5348,,Rome,Italy
1908 Summer Olympics,22,2008,,London,United Kingdom
1920 Summer Olympics,29,2626,154,Antwerp,Netherlands
1952 Winter Olympics,30,694,,Oslo,Norway
1968 Summer Olympics,112,5530,,Mexico City,Mexico
1992 Summer Olympics,169,9956,,Barcelona,Spain
1998 Winter Olympics,72,2176,,Nagano,Japan
2008 Summer Olympics,,10500,,Beijing,China
1994 Winter Olympics,67,1737,,Lillehammer,Norway
1992 Winter Olympics,64,1801,,Albertville,France
2012 Summer Olympics,,,,London,United Kingdom
2006 Winter Olympics,80,2663,,Turin,Italy
1984 Winter Olympics,49,1272,,Sarajevo,Yugoslavia
1932 Summer Olympics,37,1408,,Los Angeles,United States of America
1924 Winter Olympics,16,258,,Chamonix,France
